name,rating,address,category,review_count,url,id
The David N. Dinkins Manhattan Municipal Building,5.0,"1 Centre St, New York, NY 10007",Landmarks & Historical Buildings,6,https://www.yelp.com/biz/the-david-n-dinkins-manhattan-municipal-building-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,v6UTsUXwQg4xcSapr0V0Ow
PhotoTrek Tours,5.0,"340 W 42nd St, Ste 318, New York, NY 10036",Walking Tours,13,https://www.yelp.com/biz/phototrek-tours-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,zKjLoZ5CqGws1XVzQMt3xw
NYC Adventure eBike Tours and Rentals,5.0,"311 11th Ave, New York, NY 10001","Bike tours, Bike Rentals, Bikes",25,https://www.yelp.com/biz/nyc-adventure-ebike-tours-and-rentals-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,sh6Ji2TGH-br4qxkHkvDyw
Hudson Valley Bucket List,5.0,"1 Ferry St, Beacon, NY 12508","Wine Tours, Historical Tours, Food Tours",8,https://www.yelp.com/biz/hudson-valley-bucket-list-beacon?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,VOqgIXYAhZpYQRXO3m88eQ
5th Avenue,5.0,"5th Ave, New York, NY 10012",Local Flavor,6,https://www.yelp.com/biz/5th-avenue-new-york-4?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,GbV24gqigoaFIuHWLS0XpQ
Real New York Tours,5.0,"New York, NY 10002","Historical Tours, Walking Tours",134,https://www.yelp.com/biz/real-new-york-tours-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,vHArraSHl2ueZMq4zWwrQw
League of Kitchens,4.9,"New York, NY 11226","Cooking Classes, Food Tours",122,https://www.yelp.com/biz/league-of-kitchens-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,ynV5pdANi5-ZhZuVUaZyPA
Famous Fat Dave's Food Tours,4.9,"New York, NY 10001",Food Tours,55,https://www.yelp.com/biz/famous-fat-daves-food-tours-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,Ym9y9U1sfDwh9wbPKMoX5g
The Esplanade,4.9,"Battery Park City, New York, NY 10280",Parks,18,https://www.yelp.com/biz/the-esplanade-new-york-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,2_Iv4iJbRVtBQF5zo1c_iA
National September 11 Memorial Museum,4.9,"180 Greenwich St, New York, NY 10007",Museums,92,https://www.yelp.com/biz/national-september-11-memorial-museum-new-york-3?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,StMUsZ_hJEAq6NQr3xTBlA
Boroughs of the Dead,4.9,"9 E 8th St, Ste 285, New York, NY 10003",Walking Tours,79,https://www.yelp.com/biz/boroughs-of-the-dead-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,lDoqhfN69K0o7BjFEdyG9w
Mmuseumm,4.9,"6 Cortlandt Alley, New York, NY 10013",Museums,14,https://www.yelp.com/biz/mmuseumm-new-york-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,YS3U03120Ci3wgMKCVlgRQ
Travendly,4.8,"137 W 25th St, Fl 11, New York, NY 10001",Travel Services,116,https://www.yelp.com/biz/travendly-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,0jWw69rfJg_oVfMhYd9wMA
BrainXcape Escape Room,4.8,"160 Broadway, Fl 3, New York, NY 10038",Escape Games,141,https://www.yelp.com/biz/brainxcape-escape-room-new-york-5?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,O5AQCHaBe2WTHsxV-WeK-w
A-Passport & Visa Services,4.7,"845 3rd Ave, Fl 6, New York, NY 10022",Passport & Visa Services,151,https://www.yelp.com/biz/a-passport-and-visa-services-new-york-2?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,xU1k876aei5E6rGqnW5Lag
The Sphere,4.7,"165 Liberty St, New York, NY 10004",Landmarks & Historical Buildings,15,https://www.yelp.com/biz/the-sphere-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,xLRgFcc4_vm_mDTEptlkUw
National September 11 Memorial Museum,4.7,"180 Greenwich St, New York, NY 10007",Museums,1677,https://www.yelp.com/biz/national-september-11-memorial-museum-new-york?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,kViIWJFfAfWPpJOwAXBKGA
Sea The City Jet Ski,4.7,"84 Audrey Zapp Dr, Jersey City, NJ 07305","Tours, Jet Skis, Boating",178,https://www.yelp.com/biz/sea-the-city-jet-ski-jersey-city?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,BR8bsVj4Q4W6DvNEJrckZg
The Metropolitan Museum of Art,4.7,"1000 Fifth Ave, New York, NY 10028",Art Museums,3590,https://www.yelp.com/biz/the-metropolitan-museum-of-art-new-york-3?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,jVncyqXwlx_D9f2xZn05tg
BLDG 92,4.7,"63 Flushing Ave, Bldg 92, Brooklyn Navy Yard Center, Brooklyn, NY 11201","Museums, Tours",21,https://www.yelp.com/biz/bldg-92-brooklyn?adjust_creative=2w6F9x0akELuFj8mHJt5xg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=2w6F9x0akELuFj8mHJt5xg,WiuY9ZfJVb5tQTvToq9Fig
